	U =	U* =	|U - U*|
1	1	0
1.95313	1.95313	0
3.375	3.375	0
5.35938	5.35938	0
8	8	0
11.3906	11.3906	0
15.625	15.625	0
20.7969	20.7969	0
27	27	0
1	1	0
1.95312	1.95313	2.22045e-16
3.375	3.375	4.44089e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	1.77636e-15
20.7969	20.7969	0
27	27	0
1	1	0
1.95313	1.95313	0
3.375	3.375	8.88178e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	1.77636e-15
20.7969	20.7969	3.55271e-15
27	27	0
1	1	0
1.95312	1.95313	2.22045e-16
3.375	3.375	4.44089e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	3.55271e-15
20.7969	20.7969	0
27	27	0
0	0	0
0.015625	0.015625	0
0.125	0.125	0
0.421875	0.421875	0
1	1	0
1.95313	1.95313	0
3.375	3.375	8.88178e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	1.77636e-15
20.7969	20.7969	3.55271e-15
27	27	0
34.3281	34.3281	0
42.875	42.875	0
52.7344	52.7344	0
64	64	0
0	0	0
0.015625	0.015625	0
0.125	0.125	0
0.421875	0.421875	0
1	1	0
1.95312	1.95313	2.22045e-16
3.375	3.375	4.44089e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	1.77636e-15
20.7969	20.7969	0
27	27	0
34.3281	34.3281	0
42.875	42.875	0
52.7344	52.7344	0
64	64	0
0	0	0
0.015625	0.015625	0
0.125	0.125	0
0.421875	0.421875	0
1	1	0
1.95313	1.95313	0
3.375	3.375	8.88178e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	1.77636e-15
20.7969	20.7969	3.55271e-15
27	27	0
34.3281	34.3281	0
42.875	42.875	0
52.7344	52.7344	0
64	64	0
0	0	0
0.015625	0.015625	0
0.125	0.125	0
0.421875	0.421875	0
1	1	0
1.95312	1.95313	2.22045e-16
3.375	3.375	4.44089e-16
5.35937	5.35938	8.88178e-16
8	8	0
11.3906	11.3906	0
15.625	15.625	1.77636e-15
20.7969	20.7969	0
27	27	0
34.3281	34.3281	0
42.875	42.875	0
52.7344	52.7344	0
64	64	0
0	0	0
0.015625	0.015625	0
0.125	0.125	0
0.421875	0.421875	0
1	1	0
1.95313	1.95313	0
3.375	3.375	0
5.35938	5.35938	0
8	8	0
11.3906	11.3906	0
15.625	15.625	0
20.7969	20.7969	0
27	27	0
34.3281	34.3281	0
42.875	42.875	0
52.7344	52.7344	0
64	64	0
